"","lib","indice","codes"
"4","2024-02","98.31","A"
"5","2024-01","97.41","A"
"6","2023-12","96.92","A"
"7","2023-11","94.49","A"
"8","2023-10","96.13","A"
"9","2023-09","95.33","A"
"10","2023-08","98.16","A"
"11","2023-07","96.36","A"
"12","2023-06","97.49","A"
"13","2023-05","97.4","A"
"14","2023-04","97.09","A"
"15","2023-03","97.62","A"
"16","2023-02","98.14","A"
"17","2023-01","97.51","A"
"18","2022-12","97.98","A"
"19","2022-11","99.17","A"
"20","2022-10","100.68","A"
"21","2022-09","99.43","A"
"22","2022-08","98.46","A"
"23","2022-07","99.07","A"
"24","2022-06","98.34","A"
"25","2022-05","96.71","A"
"26","2022-04","99.01","A"
"27","2022-03","98.62","A"
"28","2022-02","98.75","A"
"29","2022-01","98.99","A"
"30","2021-12","98.48","A"
"31","2021-11","100.81","A"
"32","2021-10","100.0","A"
"33","2021-09","100.53","A"
"34","2021-08","100.67","A"
"35","2021-07","100.67","A"
"36","2021-06","99.25","A"
"37","2021-05","99.74","A"
"38","2021-04","100.46","A"
"39","2021-03","100.93","A"
"40","2021-02","98.58","A"
"41","2021-01","99.88","A"
"42","2020-12","100.26","A"
"43","2020-11","100.34","A"
"44","2020-10","100.49","A"
"45","2020-09","99.97","A"
"46","2020-08","98.8","A"
"47","2020-07","100.96","A"
"48","2020-06","103.51","A"
"49","2020-05","99.46","A"
"50","2020-04","99.78","A"
"51","2020-03","99.38","A"
"52","2020-02","98.64","A"
"53","2020-01","101.98","A"
"54","2019-12","100.19","A"
"55","2019-11","98.99","A"
"56","2019-10","99.09","A"
"57","2019-09","100.52","A"
"58","2019-08","99.34","A"
"59","2019-07","99.4","A"
"60","2019-06","99.98","A"
"61","2019-05","101.89","A"
"62","2019-04","100.14","A"
"63","2019-03","98.22","A"
"64","2019-02","99.56","A"
"65","2019-01","99.1","A"
"66","2018-12","100.02","A"
"67","2018-11","97.73","A"
"68","2018-10","97.99","A"
"69","2018-09","97.71","A"
"70","2018-08","96.72","A"
"71","2018-07","99.08","A"
"72","2018-06","98.54","A"
"73","2018-05","99.92","A"
"74","2018-04","98.91","A"
"75","2018-03","100.59","A"
"76","2018-02","99.76","A"
"77","2018-01","99.66","A"
"78","2017-12","100.77","A"
"79","2017-11","101.1","A"
"80","2017-10","101.46","A"
"81","2017-09","100.84","A"
"82","2017-08","101.77","A"
"83","2017-07","99.79","A"
"84","2017-06","100.14","A"
"85","2017-05","99.8","A"
"86","2017-04","100.92","A"
"87","2017-03","101.02","A"
"88","2017-02","100.76","A"
"89","2017-01","99.95","A"
"90","2016-12","100.38","A"
"91","2016-11","100.97","A"
"92","2016-10","98.86","A"
"93","2016-09","99.79","A"
"94","2016-08","101.07","A"
"95","2016-07","102.89","A"
"96","2016-06","101.58","A"
"97","2016-05","99.56","A"
"98","2016-04","100.32","A"
"99","2016-03","100.49","A"
"100","2016-02","101.14","A"
"101","2016-01","102.44","A"
"102","2015-12","101.76","A"
"103","2015-11","102.38","A"
"104","2015-10","102.75","A"
"105","2015-09","103.12","A"
"106","2015-08","101.64","A"
"107","2015-07","100.72","A"
"108","2015-06","100.69","A"
"109","2015-05","100.77","A"
"110","2015-04","100.28","A"
"111","2015-03","99.19","A"
"112","2015-02","100.2","A"
"113","2015-01","97.77","A"
"114","2014-12","102.24","A"
"115","2014-11","99.07","A"
"116","2014-10","100.38","A"
"117","2014-09","105.45","A"
"118","2014-08","103.78","A"
"119","2014-07","104.04","A"
"120","2014-06","103.2","A"
"121","2014-05","104.05","A"
"122","2014-04","103.59","A"
"123","2014-03","104.19","A"
"124","2014-02","102.49","A"
"125","2014-01","102.73","A"
"126","2013-12","103.09","A"
"127","2013-11","101.57","A"
"128","2013-10","101.25","A"
"129","2013-09","100.71","A"
"130","2013-08","101.07","A"
"131","2013-07","101.35","A"
"132","2013-06","102.3","A"
"133","2013-05","105.74","A"
"134","2013-04","102.32","A"
"135","2013-03","100.08","A"
"136","2013-02","100.12","A"
"137","2013-01","100.6","A"
"138","2012-12","98.01","A"
"139","2012-11","98.44","A"
"140","2012-10","99.3","A"
"141","2012-09","98.07","A"
"142","2012-08","98.99","A"
"143","2012-07","97.94","A"
"144","2012-06","98.69","A"
"145","2012-05","99.18","A"
"146","2012-04","98.36","A"
"147","2012-03","98.15","A"
"148","2012-02","97.8","A"
"149","2012-01","97.17","A"
"150","2011-12","96.84","A"
"151","2011-11","102.17","A"
"152","2011-10","97.46","A"
"153","2011-09","96.74","A"
"154","2011-08","99.68","A"
"155","2011-07","99.19","A"
"156","2011-06","97.95","A"
"157","2011-05","92.83","A"
"158","2011-04","97.77","A"
"159","2011-03","98.09","A"
"160","2011-02","99.01","A"
"161","2011-01","97.5","A"
"162","2010-12","97.27","A"
"163","2010-11","100.06","A"
"164","2010-10","99.34","A"
"165","2010-09","98.46","A"
"166","2010-08","95.63","A"
"167","2010-07","96.69","A"
"168","2010-06","96.66","A"
"169","2010-05","95.84","A"
"170","2010-04","94.74","A"
"171","2010-03","95.68","A"
"172","2010-02","94.88","A"
"173","2010-01","94.99","A"
"174","2009-12","95.16","A"
"175","2009-11","93.63","A"
"176","2009-10","94.27","A"
"177","2009-09","91.49","A"
"178","2009-08","93.01","A"
"179","2009-07","97.05","A"
"180","2009-06","96.35","A"
"181","2009-05","95.2","A"
"182","2009-04","96.64","A"
"183","2009-03","95.36","A"
"184","2009-02","95.42","A"
"185","2009-01","95.89","A"
"186","2008-12","96.43","A"
"187","2008-11","95.44","A"
"188","2008-10","94.47","A"
"189","2008-09","96.81","A"
"190","2008-08","95.58","A"
"191","2008-07","96.42","A"
"192","2008-06","96.29","A"
"193","2008-05","97.68","A"
"194","2008-04","97.75","A"
"195","2008-03","100.72","A"
"196","2008-02","100.5","A"
"197","2008-01","101.2","A"
"198","2007-12","101.51","A"
"199","2007-11","98.02","A"
"200","2007-10","97.76","A"
"201","2007-09","96.16","A"
"202","2007-08","97.79","A"
"203","2007-07","97.6","A"
"204","2007-06","94.71","A"
"205","2007-05","96.14","A"
"206","2007-04","96.74","A"
"207","2007-03","94.76","A"
"208","2007-02","94.97","A"
"209","2007-01","95.42","A"
"210","2006-12","94.92","A"
"211","2006-11","95.99","A"
"212","2006-10","96.63","A"
"213","2006-09","95.73","A"
