lib;indice;codes
1990-01;93.41;A
1990-02;92.84;A
1990-03;91.17;A
1990-04;90.61;A
1990-05;89.08;A
1990-06;91.06;A
1990-07;89.41;A
1990-08;87.84;A
1990-09;95.07;A
1990-10;78.99;A
1990-11;82.88;A
1990-12;87.19;A
1991-01;88.86;A
1991-02;86.48;A
1991-03;89.47;A
1991-04;89.19;A
1991-05;86.81;A
1991-06;88.66;A
1991-07;85.29;A
1991-08;85.57;A
1991-09;85.54;A
1991-10;84.2;A
1991-11;88.84;A
1991-12;87.22;A
1992-01;88.35;A
1992-02;91.28;A
1992-03;90.43;A
1992-04;90.34;A
1992-05;92.43;A
1992-06;91.03;A
1992-07;87.61;A
1992-08;86.71;A
1992-09;83.68;A
1992-10;86.4;A
1992-11;85.84;A
1992-12;84.19;A
1993-01;77.4;A
1993-02;79.71;A
1993-03;80.62;A
1993-04;80.19;A
1993-05;82.92;A
1993-06;80.54;A
1993-07;85.96;A
1993-08;87.05;A
1993-09;89.3;A
1993-10;91.98;A
1993-11;85.55;A
1993-12;88.96;A
1994-01;95.47;A
1994-02;90.71;A
1994-03;86.73;A
1994-04;86.78;A
1994-05;87.14;A
1994-06;87.11;A
1994-07;85.25;A
1994-08;87.29;A
1994-09;88.14;A
1994-10;82.22;A
1994-11;87.61;A
1994-12;98.23;A
1995-01;87.81;A
1995-02;82.37;A
1995-03;88.69;A
1995-04;94.34;A
1995-05;89.35;A
1995-06;94.31;A
1995-07;89.1;A
1995-08;88.14;A
1995-09;92.41;A
1995-10;93.06;A
1995-11;94.12;A
1995-12;88.21;A
1996-01;88.93;A
1996-02;94.13;A
1996-03;94.83;A
1996-04;90.22;A
1996-05;100.97;A
1996-06;87.96;A
1996-07;92.41;A
1996-08;80.46;A
1996-09;94.31;A
1996-10;93.62;A
1996-11;85.75;A
1996-12;92.31;A
1997-01;95.22;A
1997-02;94.07;A
1997-03;92.6;A
1997-04;92.41;A
1997-05;96.54;A
1997-06;94.54;A
1997-07;99.09;A
1997-08;98.18;A
1997-09;92.23;A
1997-10;91.48;A
1997-11;93.6;A
1997-12;95.08;A
1998-01;93.47;A
1998-02;87.64;A
1998-03;93.03;A
1998-04;93.11;A
1998-05;86.48;A
1998-06;88.13;A
1998-07;90.88;A
1998-08;93.46;A
1998-09;91.68;A
1998-10;86.76;A
1998-11;90.15;A
1998-12;93.65;A
1999-01;88.39;A
1999-02;94.2;A
1999-03;88.3;A
1999-04;84.15;A
1999-05;88.53;A
1999-06;92.14;A
1999-07;88.34;A
1999-08;86.59;A
1999-09;91.69;A
1999-10;94.71;A
1999-11;93.26;A
1999-12;88.34;A
2000-01;88.86;A
2000-02;85.97;A
2000-03;90.54;A
2000-04;90.66;A
2000-05;88.34;A
2000-06;87.23;A
2000-07;92.33;A
2000-08;93.34;A
2000-09;87.1;A
2000-10;91.65;A
2000-11;92.92;A
2000-12;93.76;A
2001-01;93.19;A
2001-02;93.01;A
2001-03;91.53;A
2001-04;94.82;A
2001-05;94.04;A
2001-06;94.16;A
2001-07;92.06;A
2001-08;90.02;A
2001-09;87.73;A
2001-10;92.29;A
2001-11;88.46;A
2001-12;88.0;A
2002-01;92.94;A
2002-02;95.86;A
2002-03;95.92;A
2002-04;91.82;A
2002-05;95.84;A
2002-06;95.11;A
2002-07;92.09;A
2002-08;98.96;A
2002-09;92.56;A
2002-10;90.75;A
2002-11;92.85;A
2002-12;85.24;A
2003-01;87.21;A
2003-02;87.23;A
2003-03;89.73;A
2003-04;92.97;A
2003-05;90.31;A
2003-06;88.54;A
2003-07;85.93;A
2003-08;78.42;A
2003-09;91.05;A
2003-10;89.6;A
2003-11;85.2;A
2003-12;94.04;A
2004-01;95.64;A
2004-02;95.57;A
2004-03;93.32;A
2004-04;92.06;A
2004-05;91.51;A
2004-06;94.73;A
2004-07;96.9;A
2004-08;93.74;A
2004-09;98.18;A
2004-10;95.63;A
2004-11;95.45;A
2004-12;94.97;A
2005-01;92.83;A
2005-02;91.75;A
2005-03;88.28;A
2005-04;88.36;A
2005-05;91.43;A
2005-06;90.95;A
2005-07;92.55;A
2005-08;96.36;A
2005-09;91.72;A
2005-10;93.14;A
2005-11;94.05;A
2005-12;94.44;A
2006-01;93.61;A
2006-02;92.72;A
2006-03;93.91;A
2006-04;93.61;A
2006-05;95.5;A
2006-06;93.85;A
2006-07;94.41;A
2006-08;98.6;A
2006-09;95.3;A
2006-10;92.78;A
2006-11;94.53;A
2006-12;97.26;A
2007-01;96.19;A
2007-02;94.68;A
2007-03;96.48;A
2007-04;99.69;A
2007-05;92.42;A
2007-06;96.65;A
2007-07;95.3;A
2007-08;105.61;A
2007-09;91.45;A
2007-10;89.18;A
2007-11;92.64;A
2007-12;101.31;A
2008-01;96.07;A
2008-02;90.03;A
2008-03;86.92;A
2008-04;96.5;A
2008-05;93.94;A
2008-06;98.82;A
2008-07;89.11;A
2008-08;83.46;A
2008-09;88.6;A
2008-10;90.71;A
2008-11;88.61;A
2008-12;114.2;A
2009-01;84.2;A
2009-02;89.24;A
2009-03;90.18;A
2009-04;87.37;A
2009-05;90.4;A
2009-06;87.89;A
2009-07;87.73;A
2009-08;84.53;A
2009-09;87.78;A
2009-10;86.18;A
2009-11;87.15;A
2009-12;87.27;A
2010-01;89.22;A
2010-02;88.81;A
2010-03;88.73;A
2010-04;82.29;A
2010-05;87.37;A
2010-06;84.0;A
2010-07;87.24;A
2010-08;84.1;A
2010-09;87.54;A
2010-10;86.92;A
2010-11;87.81;A
2010-12;80.36;A
2011-01;87.9;A
2011-02;78.94;A
2011-03;94.45;A
2011-04;88.25;A
2011-05;84.32;A
2011-06;86.52;A
2011-07;96.44;A
2011-08;90.5;A
2011-09;89.29;A
2011-10;88.51;A
2011-11;82.79;A
2011-12;88.16;A
2012-01;85.76;A
2012-02;84.02;A
2012-03;87.37;A
2012-04;87.57;A
2012-05;87.78;A
2012-06;89.39;A
2012-07;96.71;A
2012-08;89.1;A
2012-09;84.34;A
2012-10;88.58;A
2012-11;90.23;A
2012-12;85.15;A
2013-01;88.32;A
2013-02;92.27;A
2013-03;83.79;A
2013-04;87.86;A
2013-05;91.33;A
2013-06;88.59;A
2013-07;83.54;A
2013-08;85.68;A
2013-09;80.73;A
2013-10;79.25;A
2013-11;97.45;A
2013-12;92.89;A
2014-01;96.57;A
2014-02;100.06;A
2014-03;100.96;A
2014-04;95.58;A
2014-05;87.74;A
2014-06;91.19;A
2014-07;92.29;A
2014-08;90.2;A
2014-09;96.24;A
2014-10;100.1;A
2014-11;94.15;A
2014-12;93.54;A
2015-01;90.38;A
2015-02;92.81;A
2015-03;89.58;A
2015-04;92.59;A
2015-05;92.33;A
2015-06;91.51;A
2015-07;87.19;A
2015-08;93.56;A
2015-09;95.8;A
2015-10;96.66;A
2015-11;91.28;A
2015-12;94.81;A
2016-01;101.48;A
2016-02;91.55;A
2016-03;94.66;A
2016-04;92.59;A
2016-05;95.19;A
2016-06;94.99;A
2016-07;97.03;A
2016-08;97.81;A
2016-09;94.09;A
2016-10;97.11;A
2016-11;93.24;A
2016-12;99.77;A
2017-01;90.96;A
2017-02;93.84;A
2017-03;98.28;A
2017-04;91.44;A
2017-05;96.5;A
2017-06;86.0;A
2017-07;95.26;A
2017-08;96.47;A
2017-09;94.91;A
2017-10;88.74;A
2017-11;92.74;A
2017-12;89.72;A
2018-01;86.55;A
2018-02;86.11;A
2018-03;78.18;A
2018-04;82.83;A
2018-05;83.88;A
2018-06;81.07;A
2018-07;85.21;A
2018-08;77.6;A
2018-09;82.86;A
2018-10;87.47;A
2018-11;81.21;A
2018-12;82.02;A
2019-01;89.44;A
2019-02;91.26;A
2019-03;90.89;A
2019-04;92.4;A
2019-05;82.74;A
2019-06;87.9;A
2019-07;80.64;A
2019-08;82.76;A
2019-09;83.11;A
2019-10;86.15;A
2019-11;86.97;A
2019-12;91.23;A
