lib;indice;codes
1990-01;90.17;A
1990-02;91.91;A
1990-03;93.61;A
1990-04;91.43;A
1990-05;97.77;A
1990-06;93.09;A
1990-07;91.49;A
1990-08;95.11;A
1990-09;90.32;A
1990-10;95.32;A
1990-11;93.8;A
1990-12;95.65;A
1991-01;97.13;A
1991-02;96.0;A
1991-03;95.31;A
1991-04;97.2;A
1991-05;97.28;A
1991-06;93.43;A
1991-07;97.4;A
1991-08;94.91;A
1991-09;92.9;A
1991-10;96.35;A
1991-11;96.85;A
1991-12;95.31;A
1992-01;96.96;A
1992-02;97.01;A
1992-03;96.21;A
1992-04;98.25;A
1992-05;95.79;A
1992-06;97.74;A
1992-07;96.69;A
1992-08;94.59;A
1992-09;97.23;A
1992-10;94.65;A
1992-11;94.41;A
1992-12;100.67;A
1993-01;91.57;A
1993-02;93.99;A
1993-03;94.88;A
1993-04;94.31;A
1993-05;90.54;A
1993-06;95.07;A
1993-07;94.56;A
1993-08;95.58;A
1993-09;99.21;A
1993-10;94.4;A
1993-11;95.36;A
1993-12;101.12;A
1994-01;94.19;A
1994-02;95.28;A
1994-03;94.93;A
1994-04;93.91;A
1994-05;95.06;A
1994-06;95.18;A
1994-07;96.53;A
1994-08;99.96;A
1994-09;96.8;A
1994-10;96.41;A
1994-11;97.74;A
1994-12;97.12;A
1995-01;97.61;A
1995-02;97.43;A
1995-03;97.25;A
1995-04;98.54;A
1995-05;98.75;A
1995-06;97.72;A
1995-07;97.54;A
1995-08;99.06;A
1995-09;98.75;A
1995-10;100.53;A
1995-11;99.2;A
1995-12;100.82;A
1996-01;101.53;A
1996-02;101.87;A
1996-03;103.6;A
1996-04;102.63;A
1996-05;105.04;A
1996-06;104.11;A
1996-07;100.02;A
1996-08;104.05;A
1996-09;104.99;A
1996-10;104.15;A
1996-11;105.15;A
1996-12;105.61;A
1997-01;105.74;A
1997-02;106.16;A
1997-03;108.73;A
1997-04;106.27;A
1997-05;108.82;A
1997-06;107.9;A
1997-07;105.05;A
1997-08;108.55;A
1997-09;108.68;A
1997-10;108.18;A
1997-11;109.38;A
1997-12;108.23;A
1998-01;108.64;A
1998-02;108.74;A
1998-03;109.11;A
1998-04;108.94;A
1998-05;110.28;A
1998-06;109.21;A
1998-07;108.2;A
1998-08;110.14;A
1998-09;108.8;A
1998-10;109.96;A
1998-11;110.0;A
1998-12;108.55;A
1999-01;111.54;A
1999-02;110.84;A
1999-03;110.3;A
1999-04;110.63;A
1999-05;111.24;A
1999-06;109.9;A
1999-07;111.07;A
1999-08;110.86;A
1999-09;110.12;A
1999-10;111.79;A
1999-11;110.71;A
1999-12;108.34;A
2000-01;110.13;A
2000-02;109.56;A
2000-03;109.2;A
2000-04;110.84;A
2000-05;108.8;A
2000-06;110.5;A
2000-07;110.76;A
2000-08;109.2;A
2000-09;109.28;A
2000-10;109.0;A
2000-11;108.28;A
2000-12;108.6;A
2001-01;109.74;A
2001-02;110.83;A
2001-03;110.54;A
2001-04;110.85;A
2001-05;111.45;A
2001-06;110.61;A
2001-07;108.78;A
